,idx,prediction
0,0,4
1,1,28
2,2,28
3,3,10
4,4,27
5,5,34
6,6,6
7,7,28
8,8,3
9,9,28
10,10,24
11,11,36
12,12,28
13,13,10
14,14,16
15,15,33
16,16,34
17,17,26
18,18,24
19,19,19
20,20,28
21,21,14
22,22,28
23,23,28
24,24,27
25,25,2
26,26,34
27,27,28
28,28,28
29,29,3
30,30,4
31,31,16
32,32,24
33,33,34
34,34,16
35,35,2
36,36,32
37,37,24
38,38,16
39,39,36
40,40,23
41,41,8
42,42,20
43,43,2
44,44,28
45,45,2
46,46,19
47,47,28
48,48,18
49,49,8
50,50,28
51,51,38
52,52,26
53,53,4
54,54,24
55,55,38
56,56,5
57,57,28
58,58,24
59,59,20
60,60,20
61,61,9
62,62,8
63,63,5
64,64,16
65,65,28
66,66,34
67,67,8
68,68,28
69,69,5
70,70,33
71,71,28
72,72,28
73,73,39
74,74,36
75,75,16
76,76,26
77,77,30
78,78,28
79,79,2
80,80,28
81,81,36
82,82,23
83,83,21
84,84,24
85,85,4
86,86,23
87,87,19
88,88,34
89,89,29
90,90,28
91,91,26
92,92,20
93,93,33
94,94,24
95,95,14
96,96,28
97,97,5
98,98,24
99,99,28
100,100,30
101,101,10
102,102,24
103,103,33
104,104,39
105,105,28
106,106,34
107,107,28
108,108,27
109,109,8
110,110,36
111,111,28
112,112,4
113,113,28
114,114,23
115,115,22
116,116,19
117,117,26
118,118,28
119,119,26
120,120,8
121,121,8
122,122,28
123,123,16
124,124,28
125,125,4
126,126,5
127,127,16
128,128,16
129,129,10
130,130,38
131,131,28
132,132,28
133,133,8
134,134,28
135,135,14
136,136,28
137,137,36
138,138,38
139,139,27
140,140,23
141,141,38
142,142,19
143,143,19
144,144,8
145,145,31
146,146,10
147,147,26
148,148,22
149,149,2
150,150,23
151,151,28
152,152,28
153,153,2
154,154,24
155,155,28
156,156,28
157,157,26
158,158,28
159,159,23
160,160,28
161,161,2
162,162,4
163,163,28
164,164,26
165,165,28
166,166,22
167,167,16
168,168,26
169,169,28
170,170,8
171,171,28
172,172,23
173,173,8
174,174,5
175,175,28
176,176,28
177,177,26
178,178,19
179,179,24
180,180,19
181,181,9
182,182,36
183,183,32
184,184,14
185,185,8
186,186,1
187,187,28
188,188,8
189,189,24
190,190,28
191,191,30
192,192,2
193,193,24
194,194,33
195,195,19
196,196,24
197,197,26
198,198,23
199,199,8
200,200,1
201,201,34
202,202,19
203,203,33
204,204,37
205,205,31
206,206,26
207,207,19
208,208,28
209,209,2
210,210,39
211,211,20
212,212,26
213,213,26
214,214,28
215,215,4
216,216,16
217,217,26
218,218,4
219,219,6
220,220,36
221,221,16
222,222,28
223,223,30
224,224,16
225,225,22
226,226,26
227,227,16
228,228,28
229,229,28
230,230,10
231,231,24
232,232,30
233,233,30
234,234,30
235,235,10
236,236,16
237,237,2
238,238,26
239,239,28
240,240,28
241,241,37
242,242,9
243,243,22
244,244,24
245,245,5
246,246,36
247,247,5
248,248,28
249,249,34
250,250,16
251,251,11
252,252,28
253,253,24
254,254,9
255,255,2
256,256,8
257,257,37
258,258,26
259,259,2
260,260,16
261,261,28
262,262,5
263,263,19
264,264,28
265,265,4
266,266,3
267,267,27
268,268,13
269,269,20
270,270,5
271,271,28
272,272,16
273,273,24
274,274,16
275,275,34
276,276,28
277,277,16
278,278,37
279,279,28
280,280,16
281,281,8
282,282,28
283,283,9
284,284,4
285,285,16
286,286,24
287,287,8
288,288,16
289,289,16
290,290,30
291,291,28
292,292,4
293,293,8
294,294,4
295,295,16
296,296,28
297,297,16
298,298,34
299,299,10
300,300,28
301,301,28
302,302,24
303,303,24
304,304,26
305,305,30
306,306,28
307,307,28
308,308,34
309,309,31
310,310,16
311,311,26
312,312,16
313,313,28
314,314,10
315,315,34
316,316,28
317,317,28
318,318,34
319,319,4
320,320,34
321,321,16
322,322,30
323,323,8
324,324,28
325,325,16
326,326,19
327,327,34
328,328,38
329,329,31
330,330,5
331,331,30
332,332,19
333,333,24
334,334,26
335,335,6
336,336,13
337,337,30
338,338,27
339,339,16
340,340,25
341,341,26
342,342,8
343,343,4
344,344,8
345,345,28
346,346,10
347,347,19
348,348,16
349,349,28
350,350,27
351,351,0
352,352,30
353,353,26
354,354,34
355,355,16
356,356,34
357,357,4
358,358,19
359,359,24
360,360,28
361,361,24
362,362,19
363,363,19
364,364,19
365,365,16
366,366,24
367,367,26
368,368,24
